epoch 2, 10 total epochs, LR 0.100000, TRAINLOSS 1.344156, TESTLOSS nan, testACC 50.08%, testmAP 0.00%, bestTestmAP 0.00%
epoch 7, 10 total epochs, LR 0.001000, TRAINLOSS 0.795966, TESTLOSS 0.748466, testACC 78.47%, testmAP 84.37%, bestTestmAP 84.82%
epoch 8, 10 total epochs, LR 0.001000, TRAINLOSS 0.785590, TESTLOSS 0.732833, testACC 78.48%, testmAP 85.26%, bestTestmAP 85.26%
epoch 9, 10 total epochs, LR 0.001000, TRAINLOSS 0.784229, TESTLOSS 0.921700, testACC 72.58%, testmAP 67.60%, bestTestmAP 85.26%
epoch 10, 10 total epochs, LR 0.001000, TRAINLOSS 0.773251, TESTLOSS 0.731008, testACC 78.71%, testmAP 85.20%, bestTestmAP 85.26

epoch 2, 10 total epochs, LR 0.000500, TRAINLOSS 0.530755, TESTLOSS 0.579386, testACC 89.91%, testmAP 84.07%, bestTestmAP 84.07%
epoch 3, 10 total epochs, LR 0.000500, TRAINLOSS 0.276163, TESTLOSS 0.613117, testACC 89.99%, testmAP 83.28%, bestTestmAP 84.07%
epoch 4, 10 total epochs, LR 0.000500, TRAINLOSS 0.205881, TESTLOSS 0.610948, testACC 90.41%, testmAP 84.41%, bestTestmAP 84.41%
epoch 5, 10 total epochs, LR 0.000500, TRAINLOSS 0.164795, TESTLOSS 0.689937, testACC 90.30%, testmAP 83.10%, bestTestmAP 84.41%
epoch 6, 10 total epochs, LR 0.000500, TRAINLOSS 0.142918, TESTLOSS 0.629634, testACC 90.78%, testmAP 83.77%, bestTestmAP 84.41%
epoch 7, 10 total epochs, LR 0.000500, TRAINLOSS 0.125292, TESTLOSS 0.683693, testACC 89.68%, testmAP 80.86%, bestTestmAP 84.41%
epoch 8, 10 total epochs, LR 0.000500, TRAINLOSS 0.110154, TESTLOSS 0.815771, testACC 89.37%, testmAP 80.08%, bestTestmAP 84.41%
epoch 9, 10 total epochs, LR 0.000500, TRAINLOSS 0.098132, TESTLOSS 1.000688, testACC 86.61%, testmAP 74.33%, bestTestmAP 84.41%
epoch 10, 10 total epochs, LR 0.000500, TRAINLOSS 0.088466, TESTLOSS 1.088456, testACC 86.31%, testmAP 73.46%, bestTestmAP 84.41%

epoch 2, 10 total epochs, LR 0.000100, TRAINLOSS 0.557560, TESTLOSS 0.594722, testACC 88.40%, testmAP 79.74%, bestTestmAP 79.74%
epoch 3, 10 total epochs, LR 0.000100, TRAINLOSS 0.325335, TESTLOSS 0.514034, testACC 91.08%, testmAP 85.00%, bestTestmAP 85.00%
epoch 4, 10 total epochs, LR 0.000100, TRAINLOSS 0.236802, TESTLOSS 0.613842, testACC 89.82%, testmAP 82.34%, bestTestmAP 85.00%
epoch 5, 10 total epochs, LR 0.000100, TRAINLOSS 0.189593, TESTLOSS 0.503809, testACC 91.44%, testmAP 87.31%, bestTestmAP 87.31%
epoch 6, 10 total epochs, LR 0.000100, TRAINLOSS 0.159880, TESTLOSS 0.467966, testACC 91.96%, testmAP 87.54%, bestTestmAP 87.54%
epoch 7, 10 total epochs, LR 0.000100, TRAINLOSS 0.136475, TESTLOSS 0.555197, testACC 91.80%, testmAP 87.04%, bestTestmAP 87.54%
epoch 8, 10 total epochs, LR 0.000100, TRAINLOSS 0.125148, TESTLOSS 0.675886, testACC 89.94%, testmAP 81.61%, bestTestmAP 87.54%
epoch 9, 10 total epochs, LR 0.000100, TRAINLOSS 0.109236, TESTLOSS 0.550329, testACC 91.22%, testmAP 84.36%, bestTestmAP 87.54%
epoch 10, 10 total epochs, LR 0.000100, TRAINLOSS 0.098289, TESTLOSS 0.608825, testACC 90.90%, testmAP 83.34%, bestTestmAP 87.54%

epoch 2, 10 total epochs, LR 0.000050, TRAINLOSS 0.618498, TESTLOSS 0.570711, testACC 89.33%, testmAP 83.63%, bestTestmAP 83.63%
epoch 3, 10 total epochs, LR 0.000050, TRAINLOSS 0.342085, TESTLOSS 0.582086, testACC 89.63%, testmAP 82.32%, bestTestmAP 83.63%
